mode,source_patent,target_patent,rank,required_matches,matched_keywords,source_keyword_count,match_rate
MSM_10,RU147542U1,RU173291U1,2.0,1,1,7,0.1429
MSM_10,RU2532804C2,RU2118499C1,6.0,1,0,6,0.0
MSM_10,RU2532468C1,RU96467U1,4.0,1,5,8,0.625
MSM_10,RU2532768C1,RU2241769C1,3.0,1,0,5,0.0
MSM_10,RU2533712C1,RU25010U1,,1,0,8,0.0
MSM_10,RU2533335C2,RU96115551A,,1,1,6,0.1667
MSM_10,RU2533646C2,RU2246749C2,,1,0,6,0.0
MSM_10,RU2533441C2,RU2225034C2,28.0,1,0,5,0.0
MSM_10,RU2533451C2,RU2004131029A,16.0,1,0,5,0.0
MSM_10,RU2533058C2,RU104732U1,11.0,1,0,10,0.0
MSM_10,RU2533706C2,RU2243934C2,3.0,2,2,12,0.1667
MSM_10,RU2533500C2,RU2282392C1,161.0,1,0,5,0.0
MSM_10,RU2533829C2,RU2239919C2,16.0,1,1,8,0.125
MSM_10,RU148023U1,RU167313U1,4.0,2,2,12,0.1667
MSM_10,RU2015131957A,RU2646713C1,6.0,1,1,10,0.1
MSM_10,RU2533445C2,RU2441268C2,647.0,1,0,7,0.0
MSM_10,RU2533812C1,RU2008124859A,,1,0,8,0.0
MSM_10,RU2533193C2,RU2225076C2,43.0,1,0,6,0.0
MSM_10,RU2522735C9,RU2034284C1,5.0,1,1,6,0.1667
MSM_10,RU2533539C1,RU44829U1,8.0,1,0,6,0.0
MSM_10,RU2533163C1,RU2226026C2,29.0,1,0,5,0.0
MSM_10,RU2533695C2,RU2198471C2,356.0,1,0,6,0.0
MSM_10,RU2533694C2,RU2025771C1,,1,0,8,0.0
MSM_10,RU2533453C2,RU2189345C2,7.0,1,0,5,0.0
MSM_10,RU2015128360A,RU2651232C1,2.0,1,4,10,0.4
MSM_10,RU2533321C1,RU2253096C1,43.0,1,0,5,0.0
MSM_10,RU2533446C2,RU2454240C1,3.0,1,2,5,0.4
MSM_10,RU2533693C2,RU2232476C2,9.0,1,0,5,0.0
MSM_10,RU2533039C1,RU2220629C1,2.0,1,4,8,0.5
MSM_10,RU2533077C2,RU2231220C1,2.0,1,0,5,0.0
MSM_10,RU2533150C2,RU2048496C1,4.0,1,0,5,0.0
MSM_10,RU2533048C1,RU2008860C1,4.0,1,0,6,0.0
MSM_20,RU2532846C2,RU2318299C2,2.0,2,0,8,0.0
MSM_20,RU2532531C2,RU2331989C2,54.0,2,1,9,0.1111
MSM_20,RU2533860C1,RU2254539C1,4.0,2,1,7,0.1429
MSM_20,RU2532539C2,RU2198230C2,11.0,2,1,6,0.1667
MSM_20,RU147861U1,RU194260U1,,2,0,10,0.0
MSM_20,RU2532727C2,RU2201189C2,34.0,2,0,6,0.0
MSM_20,RU2532280C2,RU2127611C1,14.0,2,1,9,0.1111
MSM_20,RU2532612C2,RU85383U1,21.0,2,0,9,0.0
MSM_20,RU2532248C2,RU2233032C2,305.0,2,0,7,0.0
MSM_20,RU2532651C2,RU2110792C1,11.0,2,1,8,0.125
MSM_20,RU2532308C2,RU8938U1,,2,0,9,0.0
MSM_20,RU2532513C1,RU2993U1,61.0,3,1,11,0.0909
MSM_20,RU2532706C2,RU2338336C2,49.0,2,0,6,0.0
MSM_20,RU2533963C1,RU2141800C1,3.0,2,0,8,0.0
MSM_20,RU2532385C2,RU2322955C2,89.0,3,0,12,0.0
MSM_20,RU2532616C2,RU2144U1,,2,0,9,0.0
MSM_20,RU2532810C2,RU2134129C1,,2,0,6,0.0
MSM_20,RU2532270C2,RU2023379C1,6.0,2,0,6,0.0
MSM_20,RU147542U1,RU173291U1,2.0,2,1,7,0.1429
MSM_20,RU2532804C2,RU2118499C1,6.0,2,0,6,0.0
MSM_20,RU2532468C1,RU96467U1,4.0,2,5,8,0.625
MSM_20,RU2532768C1,RU2241769C1,3.0,1,0,5,0.0
MSM_20,RU2533712C1,RU25010U1,,2,0,8,0.0
MSM_20,RU2533335C2,RU96115551A,,2,1,6,0.1667
MSM_20,RU2533646C2,RU2246749C2,,2,0,6,0.0
MSM_20,RU2533441C2,RU2225034C2,28.0,1,0,5,0.0
MSM_20,RU2533451C2,RU2004131029A,16.0,1,0,5,0.0
MSM_20,RU2533058C2,RU104732U1,11.0,2,0,10,0.0
MSM_20,RU2533706C2,RU2243934C2,3.0,3,2,12,0.1667
MSM_20,RU2533500C2,RU2282392C1,161.0,1,0,5,0.0
MSM_20,RU2533829C2,RU2239919C2,16.0,2,1,8,0.125
MSM_20,RU148023U1,RU167313U1,4.0,3,2,12,0.1667
MSM_20,RU2015131957A,RU2646713C1,6.0,2,1,10,0.1
MSM_20,RU2533445C2,RU2441268C2,647.0,2,0,7,0.0
MSM_20,RU2533812C1,RU2008124859A,,2,0,8,0.0
MSM_20,RU2533193C2,RU2225076C2,43.0,2,0,6,0.0
MSM_20,RU2522735C9,RU2034284C1,5.0,2,1,6,0.1667
MSM_20,RU2533539C1,RU44829U1,8.0,2,0,6,0.0
MSM_20,RU2533163C1,RU2226026C2,29.0,1,0,5,0.0
MSM_20,RU2533695C2,RU2198471C2,356.0,2,0,6,0.0
MSM_20,RU2533694C2,RU2025771C1,,2,0,8,0.0
MSM_20,RU2533453C2,RU2189345C2,7.0,1,0,5,0.0
MSM_20,RU2015128360A,RU2651232C1,2.0,2,4,10,0.4
MSM_20,RU2533321C1,RU2253096C1,43.0,1,0,5,0.0
MSM_20,RU2533446C2,RU2454240C1,3.0,1,2,5,0.4
MSM_20,RU2533693C2,RU2232476C2,9.0,1,0,5,0.0
MSM_20,RU2533039C1,RU2220629C1,2.0,2,4,8,0.5
MSM_20,RU2533077C2,RU2231220C1,2.0,1,0,5,0.0
MSM_20,RU2533150C2,RU2048496C1,4.0,1,0,5,0.0
MSM_20,RU2533048C1,RU2008860C1,4.0,2,0,6,0.0
MSM_30,RU2532846C2,RU2318299C2,2.0,3,0,8,0.0
MSM_30,RU2532531C2,RU2331989C2,54.0,3,1,9,0.1111
MSM_30,RU2533860C1,RU2254539C1,4.0,3,1,7,0.1429
MSM_30,RU2532539C2,RU2198230C2,11.0,2,1,6,0.1667
MSM_30,RU147861U1,RU194260U1,,3,0,10,0.0
MSM_30,RU2532727C2,RU2201189C2,34.0,2,0,6,0.0
MSM_30,RU2532280C2,RU2127611C1,14.0,3,1,9,0.1111
MSM_30,RU2532612C2,RU85383U1,21.0,3,0,9,0.0
MSM_30,RU2532248C2,RU2233032C2,304.0,3,0,7,0.0
MSM_30,RU2532651C2,RU2110792C1,11.0,3,1,8,0.125
MSM_30,RU2532308C2,RU8938U1,,3,0,9,0.0
MSM_30,RU2532513C1,RU2993U1,61.0,4,1,11,0.0909
MSM_30,RU2532706C2,RU2338336C2,49.0,2,0,6,0.0
MSM_30,RU2533963C1,RU2141800C1,3.0,3,0,8,0.0
MSM_30,RU2532385C2,RU2322955C2,86.0,4,0,12,0.0
MSM_30,RU2532616C2,RU2144U1,,3,0,9,0.0
MSM_30,RU2532810C2,RU2134129C1,,2,0,6,0.0
MSM_30,RU2532270C2,RU2023379C1,6.0,2,0,6,0.0
MSM_30,RU147542U1,RU173291U1,2.0,3,1,7,0.1429
MSM_30,RU2532804C2,RU2118499C1,6.0,2,0,6,0.0
MSM_30,RU2532468C1,RU96467U1,4.0,3,5,8,0.625
MSM_30,RU2532768C1,RU2241769C1,3.0,2,0,5,0.0
MSM_30,RU2533712C1,RU25010U1,,3,0,8,0.0
MSM_30,RU2533335C2,RU96115551A,,2,1,6,0.1667
MSM_30,RU2533646C2,RU2246749C2,,2,0,6,0.0
MSM_30,RU2533441C2,RU2225034C2,28.0,2,0,5,0.0
MSM_30,RU2533451C2,RU2004131029A,16.0,2,0,5,0.0
MSM_30,RU2533058C2,RU104732U1,11.0,3,0,10,0.0
MSM_30,RU2533706C2,RU2243934C2,3.0,4,2,12,0.1667
MSM_30,RU2533500C2,RU2282392C1,160.0,2,0,5,0.0
MSM_30,RU2533829C2,RU2239919C2,16.0,3,1,8,0.125
MSM_30,RU148023U1,RU167313U1,4.0,4,2,12,0.1667
MSM_30,RU2015131957A,RU2646713C1,6.0,3,1,10,0.1
MSM_30,RU2533445C2,RU2441268C2,645.0,3,0,7,0.0
MSM_30,RU2533812C1,RU2008124859A,,3,0,8,0.0
MSM_30,RU2533193C2,RU2225076C2,43.0,2,0,6,0.0
MSM_30,RU2522735C9,RU2034284C1,5.0,2,1,6,0.1667
MSM_30,RU2533539C1,RU44829U1,8.0,2,0,6,0.0
MSM_30,RU2533163C1,RU2226026C2,29.0,2,0,5,0.0
MSM_30,RU2533695C2,RU2198471C2,356.0,2,0,6,0.0
MSM_30,RU2533694C2,RU2025771C1,,3,0,8,0.0
MSM_30,RU2533453C2,RU2189345C2,7.0,2,0,5,0.0
MSM_30,RU2015128360A,RU2651232C1,2.0,3,4,10,0.4
MSM_30,RU2533321C1,RU2253096C1,43.0,2,0,5,0.0
MSM_30,RU2533446C2,RU2454240C1,3.0,2,2,5,0.4
MSM_30,RU2533693C2,RU2232476C2,9.0,2,0,5,0.0
MSM_30,RU2533039C1,RU2220629C1,2.0,3,4,8,0.5
MSM_30,RU2533077C2,RU2231220C1,2.0,2,0,5,0.0
MSM_30,RU2533150C2,RU2048496C1,4.0,2,0,5,0.0
MSM_30,RU2533048C1,RU2008860C1,4.0,2,0,6,0.0
MSM_40,RU2532846C2,RU2318299C2,2.0,4,0,8,0.0
MSM_40,RU2532531C2,RU2331989C2,54.0,4,1,9,0.1111
MSM_40,RU2533860C1,RU2254539C1,4.0,3,1,7,0.1429
MSM_40,RU2532539C2,RU2198230C2,11.0,3,1,6,0.1667
MSM_40,RU147861U1,RU194260U1,,4,0,10,0.0
MSM_40,RU2532727C2,RU2201189C2,34.0,3,0,6,0.0
MSM_40,RU2532280C2,RU2127611C1,14.0,4,1,9,0.1111
MSM_40,RU2532612C2,RU85383U1,21.0,4,0,9,0.0
MSM_40,RU2532248C2,RU2233032C2,304.0,3,0,7,0.0
MSM_40,RU2532651C2,RU2110792C1,11.0,4,1,8,0.125
MSM_40,RU2532308C2,RU8938U1,,4,0,9,0.0
MSM_40,RU2532513C1,RU2993U1,61.0,5,1,11,0.0909
MSM_40,RU2532706C2,RU2338336C2,49.0,3,0,6,0.0
MSM_40,RU2533963C1,RU2141800C1,3.0,4,0,8,0.0
MSM_40,RU2532385C2,RU2322955C2,,5,0,12,0.0
MSM_40,RU2532616C2,RU2144U1,,4,0,9,0.0
MSM_40,RU2532810C2,RU2134129C1,939.0,3,0,6,0.0
MSM_40,RU2532270C2,RU2023379C1,6.0,3,0,6,0.0
MSM_40,RU147542U1,RU173291U1,2.0,3,1,7,0.1429
MSM_40,RU2532804C2,RU2118499C1,6.0,3,0,6,0.0
MSM_40,RU2532468C1,RU96467U1,4.0,4,5,8,0.625
MSM_40,RU2532768C1,RU2241769C1,3.0,2,0,5,0.0
MSM_40,RU2533712C1,RU25010U1,,4,0,8,0.0
MSM_40,RU2533335C2,RU96115551A,,3,1,6,0.1667
MSM_40,RU2533646C2,RU2246749C2,,3,0,6,0.0
MSM_40,RU2533441C2,RU2225034C2,28.0,2,0,5,0.0
MSM_40,RU2533451C2,RU2004131029A,16.0,2,0,5,0.0
MSM_40,RU2533058C2,RU104732U1,11.0,4,0,10,0.0
MSM_40,RU2533706C2,RU2243934C2,3.0,5,2,12,0.1667
MSM_40,RU2533500C2,RU2282392C1,160.0,2,0,5,0.0
MSM_40,RU2533829C2,RU2239919C2,,4,1,8,0.125
MSM_40,RU148023U1,RU167313U1,4.0,5,2,12,0.1667
MSM_40,RU2015131957A,RU2646713C1,6.0,4,1,10,0.1
MSM_40,RU2533445C2,RU2441268C2,645.0,3,0,7,0.0
MSM_40,RU2533812C1,RU2008124859A,,4,0,8,0.0
MSM_40,RU2533193C2,RU2225076C2,43.0,3,0,6,0.0
MSM_40,RU2522735C9,RU2034284C1,5.0,3,1,6,0.1667
MSM_40,RU2533539C1,RU44829U1,8.0,3,0,6,0.0
MSM_40,RU2533163C1,RU2226026C2,29.0,2,0,5,0.0
MSM_40,RU2533695C2,RU2198471C2,356.0,3,0,6,0.0
MSM_40,RU2533694C2,RU2025771C1,,4,0,8,0.0
MSM_40,RU2533453C2,RU2189345C2,7.0,2,0,5,0.0
MSM_40,RU2015128360A,RU2651232C1,2.0,4,4,10,0.4
MSM_40,RU2533321C1,RU2253096C1,43.0,2,0,5,0.0
MSM_40,RU2533446C2,RU2454240C1,3.0,2,2,5,0.4
MSM_40,RU2533693C2,RU2232476C2,9.0,2,0,5,0.0
MSM_40,RU2533039C1,RU2220629C1,2.0,4,4,8,0.5
MSM_40,RU2533077C2,RU2231220C1,2.0,2,0,5,0.0
MSM_40,RU2533150C2,RU2048496C1,4.0,2,0,5,0.0
MSM_40,RU2533048C1,RU2008860C1,4.0,3,0,6,0.0
MSM_50,RU2532846C2,RU2318299C2,2.0,4,0,8,0.0
MSM_50,RU2532531C2,RU2331989C2,54.0,5,1,9,0.1111
MSM_50,RU2533860C1,RU2254539C1,4.0,4,1,7,0.1429
MSM_50,RU2532539C2,RU2198230C2,11.0,3,1,6,0.1667
MSM_50,RU147861U1,RU194260U1,,5,0,10,0.0
MSM_50,RU2532727C2,RU2201189C2,34.0,3,0,6,0.0
MSM_50,RU2532280C2,RU2127611C1,14.0,5,1,9,0.1111
MSM_50,RU2532612C2,RU85383U1,21.0,5,0,9,0.0
MSM_50,RU2532248C2,RU2233032C2,280.0,4,0,7,0.0
MSM_50,RU2532651C2,RU2110792C1,11.0,4,1,8,0.125
MSM_50,RU2532308C2,RU8938U1,,5,0,9,0.0
MSM_50,RU2532513C1,RU2993U1,61.0,6,1,11,0.0909
MSM_50,RU2532706C2,RU2338336C2,49.0,3,0,6,0.0
MSM_50,RU2533963C1,RU2141800C1,3.0,4,0,8,0.0
MSM_50,RU2532385C2,RU2322955C2,,6,0,12,0.0
MSM_50,RU2532616C2,RU2144U1,,5,0,9,0.0
MSM_50,RU2532810C2,RU2134129C1,939.0,3,0,6,0.0
MSM_50,RU2532270C2,RU2023379C1,6.0,3,0,6,0.0
MSM_50,RU147542U1,RU173291U1,2.0,4,1,7,0.1429
MSM_50,RU2532804C2,RU2118499C1,6.0,3,0,6,0.0
MSM_50,RU2532468C1,RU96467U1,4.0,4,5,8,0.625
MSM_50,RU2532768C1,RU2241769C1,3.0,3,0,5,0.0
MSM_50,RU2533712C1,RU25010U1,,4,0,8,0.0
MSM_50,RU2533335C2,RU96115551A,,3,1,6,0.1667
MSM_50,RU2533646C2,RU2246749C2,,3,0,6,0.0
MSM_50,RU2533441C2,RU2225034C2,28.0,3,0,5,0.0
MSM_50,RU2533451C2,RU2004131029A,16.0,3,0,5,0.0
MSM_50,RU2533058C2,RU104732U1,11.0,5,0,10,0.0
MSM_50,RU2533706C2,RU2243934C2,3.0,6,2,12,0.1667
MSM_50,RU2533500C2,RU2282392C1,150.0,3,0,5,0.0
MSM_50,RU2533829C2,RU2239919C2,,4,1,8,0.125
MSM_50,RU148023U1,RU167313U1,4.0,6,2,12,0.1667
MSM_50,RU2015131957A,RU2646713C1,6.0,5,1,10,0.1
MSM_50,RU2533445C2,RU2441268C2,618.0,4,0,7,0.0
MSM_50,RU2533812C1,RU2008124859A,,4,0,8,0.0
MSM_50,RU2533193C2,RU2225076C2,43.0,3,0,6,0.0
MSM_50,RU2522735C9,RU2034284C1,5.0,3,1,6,0.1667
MSM_50,RU2533539C1,RU44829U1,8.0,3,0,6,0.0
MSM_50,RU2533163C1,RU2226026C2,28.0,3,0,5,0.0
MSM_50,RU2533695C2,RU2198471C2,356.0,3,0,6,0.0
MSM_50,RU2533694C2,RU2025771C1,,4,0,8,0.0
MSM_50,RU2533453C2,RU2189345C2,7.0,3,0,5,0.0
MSM_50,RU2015128360A,RU2651232C1,2.0,5,4,10,0.4
MSM_50,RU2533321C1,RU2253096C1,38.0,3,0,5,0.0
MSM_50,RU2533446C2,RU2454240C1,3.0,3,2,5,0.4
MSM_50,RU2533693C2,RU2232476C2,9.0,3,0,5,0.0
MSM_50,RU2533039C1,RU2220629C1,2.0,4,4,8,0.5
MSM_50,RU2533077C2,RU2231220C1,2.0,3,0,5,0.0
MSM_50,RU2533150C2,RU2048496C1,4.0,3,0,5,0.0
MSM_50,RU2533048C1,RU2008860C1,4.0,3,0,6,0.0
MSM_60,RU2532846C2,RU2318299C2,2.0,5,0,8,0.0
MSM_60,RU2532531C2,RU2331989C2,54.0,6,1,9,0.1111
MSM_60,RU2533860C1,RU2254539C1,4.0,5,1,7,0.1429
MSM_60,RU2532539C2,RU2198230C2,11.0,4,1,6,0.1667
MSM_60,RU147861U1,RU194260U1,,6,0,10,0.0
MSM_60,RU2532727C2,RU2201189C2,25.0,4,0,6,0.0
MSM_60,RU2532280C2,RU2127611C1,14.0,6,1,9,0.1111
MSM_60,RU2532612C2,RU85383U1,20.0,6,0,9,0.0
MSM_60,RU2532248C2,RU2233032C2,222.0,5,0,7,0.0
MSM_60,RU2532651C2,RU2110792C1,11.0,5,1,8,0.125
MSM_60,RU2532308C2,RU8938U1,,6,0,9,0.0
MSM_60,RU2532513C1,RU2993U1,,7,1,11,0.0909
MSM_60,RU2532706C2,RU2338336C2,49.0,4,0,6,0.0
MSM_60,RU2533963C1,RU2141800C1,,5,0,8,0.0
MSM_60,RU2532385C2,RU2322955C2,,8,0,12,0.0
MSM_60,RU2532616C2,RU2144U1,,6,0,9,0.0
MSM_60,RU2532810C2,RU2134129C1,470.0,4,0,6,0.0
MSM_60,RU2532270C2,RU2023379C1,6.0,4,0,6,0.0
MSM_60,RU147542U1,RU173291U1,2.0,5,1,7,0.1429
MSM_60,RU2532804C2,RU2118499C1,6.0,4,0,6,0.0
MSM_60,RU2532468C1,RU96467U1,4.0,5,5,8,0.625
MSM_60,RU2532768C1,RU2241769C1,3.0,3,0,5,0.0
MSM_60,RU2533712C1,RU25010U1,,5,0,8,0.0
MSM_60,RU2533335C2,RU96115551A,,4,1,6,0.1667
MSM_60,RU2533646C2,RU2246749C2,,4,0,6,0.0
MSM_60,RU2533441C2,RU2225034C2,28.0,3,0,5,0.0
MSM_60,RU2533451C2,RU2004131029A,16.0,3,0,5,0.0
MSM_60,RU2533058C2,RU104732U1,11.0,6,0,10,0.0
MSM_60,RU2533706C2,RU2243934C2,3.0,8,2,12,0.1667
MSM_60,RU2533500C2,RU2282392C1,150.0,3,0,5,0.0
MSM_60,RU2533829C2,RU2239919C2,,5,1,8,0.125
MSM_60,RU148023U1,RU167313U1,4.0,8,2,12,0.1667
MSM_60,RU2015131957A,RU2646713C1,6.0,6,1,10,0.1
MSM_60,RU2533445C2,RU2441268C2,498.0,5,0,7,0.0
MSM_60,RU2533812C1,RU2008124859A,,5,0,8,0.0
MSM_60,RU2533193C2,RU2225076C2,43.0,4,0,6,0.0
MSM_60,RU2522735C9,RU2034284C1,,4,1,6,0.1667
MSM_60,RU2533539C1,RU44829U1,,4,0,6,0.0
MSM_60,RU2533163C1,RU2226026C2,28.0,3,0,5,0.0
MSM_60,RU2533695C2,RU2198471C2,353.0,4,0,6,0.0
MSM_60,RU2533694C2,RU2025771C1,,5,0,8,0.0
MSM_60,RU2533453C2,RU2189345C2,7.0,3,0,5,0.0
MSM_60,RU2015128360A,RU2651232C1,2.0,6,4,10,0.4
MSM_60,RU2533321C1,RU2253096C1,38.0,3,0,5,0.0
MSM_60,RU2533446C2,RU2454240C1,3.0,3,2,5,0.4
MSM_60,RU2533693C2,RU2232476C2,9.0,3,0,5,0.0
MSM_60,RU2533039C1,RU2220629C1,2.0,5,4,8,0.5
MSM_60,RU2533077C2,RU2231220C1,2.0,3,0,5,0.0
MSM_60,RU2533150C2,RU2048496C1,4.0,3,0,5,0.0
MSM_60,RU2533048C1,RU2008860C1,3.0,4,0,6,0.0
MSM_70,RU2532846C2,RU2318299C2,2.0,6,0,8,0.0
MSM_70,RU2532531C2,RU2331989C2,54.0,7,1,9,0.1111
MSM_70,RU2533860C1,RU2254539C1,4.0,5,1,7,0.1429
MSM_70,RU2532539C2,RU2198230C2,11.0,5,1,6,0.1667
MSM_70,RU147861U1,RU194260U1,,7,0,10,0.0
MSM_70,RU2532727C2,RU2201189C2,8.0,5,0,6,0.0
MSM_70,RU2532280C2,RU2127611C1,14.0,7,1,9,0.1111
MSM_70,RU2532612C2,RU85383U1,18.0,7,0,9,0.0
MSM_70,RU2532248C2,RU2233032C2,222.0,5,0,7,0.0
MSM_70,RU2532651C2,RU2110792C1,,6,1,8,0.125
MSM_70,RU2532308C2,RU8938U1,,7,0,9,0.0
MSM_70,RU2532513C1,RU2993U1,,8,1,11,0.0909
MSM_70,RU2532706C2,RU2338336C2,43.0,5,0,6,0.0
MSM_70,RU2533963C1,RU2141800C1,,6,0,8,0.0
MSM_70,RU2532385C2,RU2322955C2,,9,0,12,0.0
MSM_70,RU2532616C2,RU2144U1,,7,0,9,0.0
MSM_70,RU2532810C2,RU2134129C1,,5,0,6,0.0
MSM_70,RU2532270C2,RU2023379C1,,5,0,6,0.0
MSM_70,RU147542U1,RU173291U1,2.0,5,1,7,0.1429
MSM_70,RU2532804C2,RU2118499C1,,5,0,6,0.0
MSM_70,RU2532468C1,RU96467U1,4.0,6,5,8,0.625
MSM_70,RU2532768C1,RU2241769C1,2.0,4,0,5,0.0
MSM_70,RU2533712C1,RU25010U1,,6,0,8,0.0
MSM_70,RU2533335C2,RU96115551A,,5,1,6,0.1667
MSM_70,RU2533646C2,RU2246749C2,,5,0,6,0.0
MSM_70,RU2533441C2,RU2225034C2,23.0,4,0,5,0.0
MSM_70,RU2533451C2,RU2004131029A,16.0,4,0,5,0.0
MSM_70,RU2533058C2,RU104732U1,10.0,7,0,10,0.0
MSM_70,RU2533706C2,RU2243934C2,3.0,9,2,12,0.1667
MSM_70,RU2533500C2,RU2282392C1,124.0,4,0,5,0.0
MSM_70,RU2533829C2,RU2239919C2,,6,1,8,0.125
MSM_70,RU148023U1,RU167313U1,4.0,9,2,12,0.1667
MSM_70,RU2015131957A,RU2646713C1,6.0,7,1,10,0.1
MSM_70,RU2533445C2,RU2441268C2,498.0,5,0,7,0.0
MSM_70,RU2533812C1,RU2008124859A,,6,0,8,0.0
MSM_70,RU2533193C2,RU2225076C2,,5,0,6,0.0
MSM_70,RU2522735C9,RU2034284C1,,5,1,6,0.1667
MSM_70,RU2533539C1,RU44829U1,,5,0,6,0.0
MSM_70,RU2533163C1,RU2226026C2,25.0,4,0,5,0.0
MSM_70,RU2533695C2,RU2198471C2,,5,0,6,0.0
MSM_70,RU2533694C2,RU2025771C1,,6,0,8,0.0
MSM_70,RU2533453C2,RU2189345C2,,4,0,5,0.0
MSM_70,RU2015128360A,RU2651232C1,2.0,7,4,10,0.4
MSM_70,RU2533321C1,RU2253096C1,,4,0,5,0.0
MSM_70,RU2533446C2,RU2454240C1,3.0,4,2,5,0.4
MSM_70,RU2533693C2,RU2232476C2,7.0,4,0,5,0.0
MSM_70,RU2533039C1,RU2220629C1,,6,4,8,0.5
MSM_70,RU2533077C2,RU2231220C1,2.0,4,0,5,0.0
MSM_70,RU2533150C2,RU2048496C1,4.0,4,0,5,0.0
